study,condition,qualification
study interventions are carboplatin, fallopian tube clear cell adenocarcinoma diagnosis and albumin greater than or equal to doc dl,0
study interventions are sunitinib, uterine leiomyosarcoma diagnosis and no abdominal fistula gastrointestinal perforation or intra abdominal abscess within the past twenty-eight days,0
study interventions are cetuximab, head and neck cancer diagnosis and oral cavity or oropharyngeal primaries with nodal disease at levels iv or v,0
study interventions are immunoglobulins, recurrent squamous cell carcinoma of the lip and oral cavity diagnosis and progression after prior standard treatment,0
study interventions are questionnaire administration, diagnosis of breast cancer,0
study interventions are melphalan, multiple myeloma and plasma cell neoplasm diagnosis and within six months after stopping chemotherapy,0
"study interventions are antibodies, monoclonal", splenic marginal zone lymphoma diagnosis and total bilirubin equal_than less_than two institutional upper limit of normal uln,0
study interventions are ramucirumab, gastroesophageal junction adenocarcinoma diagnosis and have an estimated life expectancy of greater_than twelve weeks in the judgment of the investigator,0
study interventions are fluorouracil, metastatic anal canal carcinoma diagnosis and creatinine clearance greater_than equal_than fifty ml minute,0
study interventions are fludarabine, hepatosplenic cell lymphoma diagnosis and crone with high risk cytogenetics nine twenty-two four oneone or hypodiploid less_than fourfive_chromosomes for pediatric patients nine twenty-two eight onefour four oneone one onenine for adult patients greater_than four wk to achieve crone greater_than equal_than crtwo patients should have less_than five marrow blasts at the time of transplant,0
study interventions are cyclophosphamide, lymphoma follicular diagnosis and fresh core biopsy frozen must be performed before start of therapy and submitted for storage,0
study interventions are coenzyme q10, breast cancer diagnosis and planned adjuvant chemotherapy neoadjuvant chemotherapy is excluded,0
study interventions are docetaxel, prostate cancer diagnosis and acceptable liver function,0
study interventions are dexamethasone, childhood atypical_teratoid rhabdoid tumor diagnosis and patients may not donate blood during or for greater_than twelve months after completion of study treatment,0
study interventions are albumin-bound paclitaxel, breast cancer diagnosis and no documented myocardial infarction within the past six months,0
study interventions are mesna, medulloblastoma diagnosis and zero 7zero years,0
study interventions are fluorouracil, extrahepatic bile duct cancer diagnosis and ecog zero two life expectancy,0
study interventions are fludarabine, recurrent diffuse large cell lymphoma diagnosis and forced expiratory volume in one second fevone forced vital capacity fvc diffusion capacity of carbon monoxide dlco diffusion capacity greater_than equal_than forty predicted corrected for hemoglobin if unable to perform pulmonary function tests then oxygen otwo saturation greater_than 9two on room air,0
study interventions are nivolumab, neoplasms by site diagnosis and at least one lesion with measurable disease,0
study interventions are cediranib, stage iiic breast cancer diagnosis and the patient has undergone total abdominal hysterectomy with bilateral salpingo oophorectomy or bilateral oophorectomy,0
study interventions are methotrexate, lymphoma diagnosis and seven consecutive days of steroids alone or in combination with non chop regimen necessary for patient stabilization cyclophosphamide and steroids steroids for normalization of disease related hyperbilirubinemia,0
study interventions are alemtuzumab, stage iii grade one follicular lymphoma diagnosis and waldenstrom macroglobulinemia,0
study interventions are gemcitabine, bladder cancer diagnosis and no concurrent prophylactic filgrastim csf or sargramostim gm csf,0
study interventions are fludarabine, stage childhood anaplastic large cell lymphoma diagnosis and single allele disparity for hla b drbone and dqbone,0
study interventions are behavioral dietary intervention, unspecified adult solid tumor protocol specific diagnosis and not specified,0
study interventions are vinorelbine, lung cancer diagnosis and patient characteristics,0
study interventions are sorafenib, kidney cancer diagnosis and no intercurrent illness or situation which in the judgment of the investigator would affect assessments of clinical status and study endpoints significantly,0
study interventions are pembrolizumab, stage iii nasopharyngeal carcinoma diagnosis and male subjects should agree to use an adequate method of contraception starting with the first dose of study therapy through one hundred and twenty days after the last dose of study therapy,0
study interventions are fludarabine phosphate, nonmalignant neoplasm diagnosis and hiv negative,0
"study interventions are antibodies, monoclonal", ovarian clear cell adenocarcinofibroma diagnosis and absolute neutrophil count anc greater than or equal to one five hundred mcl this anc cannot have been induced or supported by granulocyte colony stimulating factors,0
study interventions are letrozole, stage iv breast cancer diagnosis and patients discovered to have greater_than equal_than two positive proteinuria at baseline must undergo two4 hour urine collection that must demonstrate less_than one of protein two4 hr or upc ratio less_than one to allow participation in the study,0
study interventions are rituximab, recurrent adult diffuse small cleaved cell lymphoma diagnosis and received high dose chemotherapy with autologous stem cell transplantation asct from forty-two to one hundred and twenty-eight days before enrollment with stable disease partial response or complete response following asct,0
study interventions are 7-hydroxystaurosporine, recurrent colon cancer diagnosis and bilirubin normal,0
study interventions are dexamethasone, stage iv ovarian cancer diagnosis and patients who are able to complete the assessments,0
study interventions are cortisol succinate, recurrent adult lymphoblastic lymphoma diagnosis and thirteen to less_than sixteen years doc male doc female,0
study interventions are bleomycin, hodgkin lymphoma diagnosis and serum creatinine less_than doc mg dl and or calculated creatinine clearance greater_than forty ml minute cockcroft gault formula or mdrd,0
study interventions are cyclophosphamide, breast cancer diagnosis and fertile patients must use effective contraception,0
study interventions are questionnaire administration, metastatic cancer diagnosis and must be ambulatory,0
study interventions are laboratory biomarker analysis, stage iiia breast cancer diagnosis and age greater_than equal_than fifty years and postmenopausal with no menses for at least one year prior to study enrollment,0
study interventions are maleic acid, recurrent ovarian carcinoma diagnosis and patients previously treated with anthracyclines are eligible as long as their ejection fraction is greater_than fifty by echo or muga prior to study entry,0
study interventions are albumin-bound paclitaxel, malignant tumor of peritoneum diagnosis and period of three weeks between last chemotherapy and inclusion,0
study interventions are letrozole, recurrent breast cancer diagnosis and patient has life expectancy of at least twelve weeks in the opinion of the treating investigator,0
study interventions are sargramostim, refractory brain neoplasm diagnosis and measurable disease,0
study interventions are gemcitabine, pancreatic neoplasms diagnosis and pt inr within normal institutional limits unless patient is on warfarin or other antithrombotic agents,0
study interventions are trametinib, recurrent colon carcinoma diagnosis and patients must not have corrected qt qtc interval greater_than equal_than four hundred and eighty msecs within twenty-eight days prior to registration,0
study interventions are docetaxel, breast cancer diagnosis and surgery,0
study interventions are tamoxifen, metastatic breast cancer diagnosis and ast sgot aspartate aminotransferase less_than doc uln less_than doc uln in case of liver metastases,0
study interventions are immunoglobulin g, localized non resectable adult liver carcinoma diagnosis and prior mammalian target of rapamycin mtor inhibitor is allowed,0
study interventions are tamoxifen, ductal breast carcinoma in situ diagnosis and screen detected estrogen receptor er positive dcis of the breast proven on core needle biopsy defined as ten positive cells the presence of focus suspicious for microinvasion will be allowed the size of the dcis in the core biopsy sample must total five mm multiple cores can be summed and must be estimated on the deepest step section if step sections are taken the size of the lesion on mammogram must be greater_than equal_than five mm,0
study interventions are methylprednisolone acetate, recurrent adult diffuse mixed cell lymphoma diagnosis and donor,0
"study interventions are antibodies, monoclonal", recurrent uterine corpus carcinoma diagnosis and patients who have had prior anthracycline must have normal ejection fraction on left ventricular ejection fraction lvef assessment by multigated acquisition scan muga or echocardiogram echo equal_than less_than four weeks prior to registration,0
study interventions are omeprazole, neoplasms diagnosis and lipase less_than doc uln,0
study interventions are educational intervention, stage iiia breast cancer diagnosis and be receiving chemotherapy in either weekly two week or three week cycles and have at least six weeks of chemotherapy treatment remaining patients are eligible any time before chemotherapy cycle three if on negative or three week cycle or cycle four if on one week cycle note,0
study interventions are etoposide phosphate, lung cancer diagnosis and biologic therapy,0
study interventions are melphalan, recurrent adult lymphoblastic lymphoma diagnosis and louis cord blood bank or any of the established registered international blood and marrow banks,0
study interventions are immunoglobulins, recurrent squamous cell carcinoma of the nasopharynx diagnosis and eastern cooperative oncology group ecog performance status equal_than less_than two karnofsky greater_than equal_than sixty,0
study interventions are cyclosporine, recurrent marginal zone lymphoma diagnosis and hodgkin disease hd,0
study interventions are prednisolone phosphate, multiple myeloma and plasma cell neoplasm diagnosis and renal,0
study interventions are sirolimus, recurrent melanoma diagnosis and criteria,0
study interventions are carboplatin, tumor involving all four hepatic sections,0
"study interventions are antibodies, monoclonal", neuroblastoma diagnosis and surgery,0
study interventions are rituximab, stage iii grade one follicular lymphoma diagnosis and women of child bearing potential and sexually active males are strongly advised to use an accepted and effective method of birth control,0
study interventions are liposomal doxorubicin, soft tissue sarcoma diagnosis and ecog performance status of zero or one,0
study interventions are beclomethasone, stage iv small lymphocytic lymphoma diagnosis and incarceration,0
study interventions are albumin-bound paclitaxel, mucinous cystic tumor with moderate dysplasia diagnosis and cytology negative for malignant cells,0
study interventions are bind-014, solid tumors diagnosis and is post menopausal demonstrated total cessation of menses for at least one year,0
study interventions are ags-16m8f, renal cell carcinoma diagnosis and negative pregnancy test women of childbearing potential,0
study interventions are carboplatin, ovarian carcinoma diagnosis and platelets greater_than equal_than one hundred zero mcl,0
study interventions are tacrolimus, stage iii multiple myeloma diagnosis and fourteen fourteen,0
study interventions are bb 1101, multiple myeloma diagnosis and subjects must be able to receive outpatient treatment and laboratory monitoring at the institute that administers agent,0
study interventions are polystyrene sulfonic acid, transformed recurrent non hodgkin lymphoma diagnosis and total bilirubin equal_than less_than doc mg dl,0
study interventions are questionnaire administration, breast cancer diagnosis and diagnosed greater_than one month before study entry,0
study interventions are cyclosporine, myelodysplastic myeloproliferative neoplasms diagnosis and acute myeloid leukemia meeting at least one of the following criteria,0
study interventions are carboplatin, non small cell lung cancer diagnosis and age greater_than eighteen less_than seventy-five years,0
"study interventions are prophylactic cranial irradiation, 1",5 Gy fx . lung cancer diagnosis and disease characteristics,0
"study interventions are antibodies, monoclonal", malignant neoplasm of esophagus diagnosis and life expectancy greater_than three months,0
study interventions are antilymphocyte serum, lymphoma diagnosis and bilirubin less_than three times normal unless due to disease,0
study interventions are cyclophosphamide, stage iii adult soft tissue sarcoma diagnosis and all patients must have an echo or multi gated acquisition scan muga scan showing ejection fraction ef greater_than fifty and normal troponin and creatine kinase ck myoglobin binding mb echo may be done at the time of stress test as stress echo within six months of starting treatment however if the patient has received cardiotoxic chemotherapy such as adriamycin they must have had an echo or muga scan since completing this treatment,0
study interventions are bevacizumab, ovarian sertoli_leydig cell tumor diagnosis and patients of childbearing potential must have negative pregnancy test and must agree to practice an effective means of birth control,0
study interventions are fludarabine phosphate, patients with melanoma or renal cell cancer must have previously received aldesleukin,0
study interventions are buparlisib, mantle cell lymphoma diagnosis and patient has an eastern cooperative oncology group ecog performance status less_than two,0
study interventions are paclitaxel, extragonadal germ cell tumor diagnosis and see disease characteristics,0
study interventions are survey administration, histologically confirmed stage or ii early endometrial carcinoma,0
study interventions are psychosocial assessment and care, multiple myeloma and plasma cell neoplasm diagnosis and endocrine therapy,0
study interventions are isophosphamide mustard, teratoma diagnosis and hepatitis antibody,0
study interventions are immunoglobulins, stage iiic breast cancer diagnosis and ptthree regardless of hormone receptor status histologic grade and oncotype_dx recurrence score,0
study interventions are epirubicin, breast cancer diagnosis and if er is positive pgr analysis is desired but not mandatory,0
study interventions are cisplatin, gastric adenocarcinoma diagnosis and ecog performance status zero one,0
study interventions are cortisone acetate, stage adult diffuse large cell lymphoma diagnosis and female participants must have negative pregnancy test within seven days of entering into the study both men and women of child bearing potential must agree to use adequate methods of contraception for the duration of the treatment women must avoid pregnancy and men must avoid fathering children while in the study and for six months following the last study drug treatment,0
study interventions are fludarabine phosphate, pediatric cancer diagnosis and total bilirubin less_than equal_than two mg dl and serum glutamic pyruvic transaminase sgpt alanine transaminase alt less_than equal_than five uln for age unless gilbert disease or abnormal liver function due to primary disease,0
study interventions are lenalidomide, noncontiguous stage ii marginal zone lymphoma diagnosis and phase ii subjects must have estimated or measured creatinine clearance greater_than equal_than thirty ml min,0
study interventions are cytology specimen collection procedure, lung cancer diagnosis and fev_one fvc less_than seventy-five by spirometry,0
study interventions are hormones, stage breast cancer diagnosis and at least thirty days since prior and no other concurrent investigational agents,0
study interventions are alvespimycin hydrochloride, stage iv adenoid cystic carcinoma of the oral cavity diagnosis and no congenital long qt syndrome,0
study interventions are cyclophosphamide, hodgkin lymphoma diagnosis and high risk aml in first remission,0
study interventions are tacrolimus, stage iii cutaneous cell non hodgkin lymphoma diagnosis and donor must consent to filgrastim csf administration and leukapheresis,0
"study interventions are antibodies, monoclonal", recurrent mantle cell lymphoma diagnosis and ability to understand and the willingness to sign written informed consent document,0
study interventions are busulfan, unspecified adult solid tumor protocol specific diagnosis and chronic lymphocytic leukemia,0
study interventions are maytansine, recurrent neuroblastoma diagnosis and patients with seizure disorder may be enrolled if on anticonvulsants and well controlled,0
study interventions are albumin-bound paclitaxel, bronchoalveolar cell lung cancer diagnosis and six months after completion of study treatment,0
study interventions are deferasirox, recurrent mantle cell lymphoma diagnosis and which would prevent study treatment,0
study interventions are osi-906, advanced solid tumors diagnosis and the subject has predicted life expectancy greater_than twelve weeks,0
study interventions are gemcitabine, stage iv pancreatic cancer diagnosis and absolute neutrophil count greater_than one five hundred mm three,0
study interventions are cyclosporins, noncontiguous stage ii adult diffuse small cleaved cell lymphoma diagnosis and they have been treated with more than one regimen of haart for total of at least six months duration,0
"study interventions are antibodies, monoclonal", testicular choriocarcinoma diagnosis and greater than twenty-five increase in paraprotein_band abnormal quantitative immunoglobulin level or urine protein excretion or,0
study interventions are cisplatin, testicular germ cell tumor diagnosis and creatinine clearance greater_than sixty ml min,0
study interventions are everolimus, glioblastoma diagnosis and lungs,0
study interventions are fulvestrant, stage iiic breast cancer diagnosis and leukocytes greater_than equal_than three zero mcl,0
study interventions are allostim, colorectal cancer diagnosis and absolute granulocyte count greater_than one two hundred mmthree,0
study interventions are prednisone, recurrent prostate carcinoma diagnosis and patient must have received standard of care androgen deprivation treatment adt before trial entry surgical castration versus gonadotropin releasing hormone gnrh analogue or antagonist treatment subjects receiving gnrh analogue or antagonist must continue this treatment throughout the time on this study,0
study interventions are bb 1101, recurrent childhood gliomatosis_cerebri diagnosis and if prior total body irradiation tbi craniospinal xrt or if greater_than equal_than fifty radiation of pelvis greater_than equal_than six months must have elapsed,0
study interventions are tacrolimus, stage iii adult immunoblastic large cell lymphoma diagnosis and ten blasts in blood or marrow,0
study interventions are cyclophosphamide, stage iv small lymphocytic lymphoma diagnosis and patients may not have received prior murine compounds due to risk of hama formation,0
study interventions are doxorubicin, hepatocellular carcinoma diagnosis and provided that they either have target lesion that has not been subjected to local therapy and or the target lesion within the field of the local therapy has shown an increase of greater_than twenty-five in the size since last treatment,0
study interventions are alvespimycin hydrochloride, recurrent lymphoepithelioma of the oropharynx diagnosis and not specified,0
study interventions are camptothecin, colorectal cancer diagnosis and ecog zero two,0
"study interventions are antibodies, monoclonal", brain cancer diagnosis and the following laboratory values must be assessed within seven days prior to registration and must be repeated if initial labs were done greater than greater_than seven seven calendar days prior to the start of therapy,0
study interventions are vinorelbine, recurrent refractory childhood hodgkin lymphoma diagnosis and at least three weeks since prior chemotherapy four weeks for nitrosoureas,0
study interventions are fosaprepitant, diagnosis of cancer,0
study interventions are busulfan, lymphoma diagnosis and pbsc or bmt patients only,0
study interventions are polymorphism analysis, prostate cancer diagnosis and trent,0
study interventions are anastrozole, patients with one stage iv metastatic triple negative breast cancer triple negative is defined as estrogen receptor er and progesterone receptor pgr status is less_than one of tumor cell nuclei are immunoreactive for er or pgr and hertwo status is fluorescence in situ hybridization fish negative or immunohistochemistry ihc zero or one positive or two stage iv hr positive her negative hr positive breast cancer defined as er or pgr greater_than one of tumor cell nuclei are immunoreactive for er or pgr and hertwo statis is fish negative or ihc,0
study interventions are misonidazole, stage iii pancreatic cancer diagnosis and new york heart association nyha classification of ii controlled with treatment,0
study interventions are lenalidomide, multiple myeloma in relapse diagnosis and patients with mm who have received at least one prior therapy,0
study interventions are doxorubicin, endometrial cancer diagnosis and bilirubin no greater than doc five times normal renal,0
study interventions are hyperfractionated radiation therapy, adult anaplastic astrocytoma diagnosis and patients must have recovered from the toxic effects of prior therapy,0
study interventions are pharmacological study, ovarian cancer diagnosis and end stage liver disease,0
study interventions are hormones, breast cancer diagnosis and other protocol defined inclusion exclusion may apply,0
study interventions are etanidazole, adult giant cell glioblastoma diagnosis and at least six months since prior chemotherapy,0
study interventions are lenalidomide, lymphoma diagnosis and ef greater_than fifty for patients with history of cardiac disease or older than seventy years,0
study interventions are thalidomide, follicular lymphoma diagnosis and fcbp must also agree to ongoing pregnancy testing,0
study interventions are anastrozole, you must have had menstrual period within six months before starting chemotherapy for your breast cancer,0
study interventions are palbociclib, bladder cancer diagnosis and ability to understand and the willingness to sign written informed consent document,0
study interventions are mycophenolic acid, stage mantle cell lymphoma diagnosis and must have less_than five marrow blasts at the time of transplant,0
study interventions are cytarabine, b cell lymphoma unclassifiable with features intermediate between diffuse large cell lymphoma and burkitt lymphoma diagnosis and the following results must be available or pending at time of registration though results will not affect enrollment treatment,0
study interventions are pemetrexed, thymic carcinoma diagnosis and bili less_than equal_than doc calc,0
study interventions are epirubicin, malignant mesothelioma diagnosis and disease characteristics,0
study interventions are imatinib mesylate, stage iv adult immunoblastic large cell lymphoma diagnosis and negative pregnancy test,0
study interventions are ifosfamide, stage iii childhood hodgkin lymphoma diagnosis and recovered from prior therapy,0
study interventions are carboplatin, breast cancer diagnosis and ecog zero or one,0
study interventions are cyclosporins, noncontiguous stage ii adult diffuse mixed cell lymphoma diagnosis and cytogenetic abnormalities in addition to ph positive,0
study interventions are mycophenolic acid, childhood diffuse large cell lymphoma diagnosis and patients must adequate organ function,0
study interventions are aldesleukin, stage iv primary peritoneal cancer diagnosis and platelet count greater_than equal_than fifty zero ul,0
study interventions are vincristine, soft tissue sarcoma diagnosis and patients with bone marrow infiltrative disease may be entered irrespective of anc or platelets,0
study interventions are capecitabine, metastatic breast cancer diagnosis and good performance status,0
study interventions are fludarabine phosphate, recurrent mantle cell lymphoma diagnosis and donor,0
study interventions are mitotane, stage iv adrenocortical carcinoma diagnosis and no current malignancy or previous malignancy with disease free interval of less_than two years at the time of diagnosis,0
study interventions are etoposide phosphate, breast cancer diagnosis and estrogen or progesterone receptor positive or negative,0
study interventions are sorafenib, recurrent non small cell lung cancer diagnosis and bilirubin less_than two times upper limit of normal uln,0
study interventions are carboplatin, cancer diagnosis and chemotherapy,0
study interventions are dexrazoxane, sarcoma soft tissue diagnosis and adequate organ function defined as,0
study interventions are cisplatin, patients six years of age and above with low stage standard risk mzero medulloblastoma will not be eligible for this study irrespective of molecular subgroup and extend of local resection,0
study interventions are busulfan, recurrent adult burkitt lymphoma diagnosis and aml transformed from myelodysplastic syndrome mds with less_than ten bone marrow blasts,0
study interventions are carboplatin, ovarian serous cystadenocarcinoma diagnosis and eligibility criteria for registration,0
study interventions are bms-663513, patients with advanced solid malignancies must have melanoma renal or ovarian carcinoma,0
study interventions are paclitaxel, ovarian serous cystadenocarcinoma diagnosis and no medical contraindications to planned regimen,0
study interventions are psychosocial assessment and care, psychosocial effects of cancer and its treatment diagnosis and prior concurrent therapy,0
study interventions are doxorubicin, sarcoma diagnosis and other,0
study interventions are bicalutamide, stage iib prostate cancer diagnosis and patients must have normal pt inr within four weeks prior to randomization,0
study interventions are paclitaxel, stage iv salivary gland cancer diagnosis and patients with brain metastases are not eligible,0
study interventions are cyclosporine, anaplastic large cell lymphoma diagnosis and the viral load is less_than fifty copies ml plasma,0
study interventions are cisplatin, large cell lung cancer diagnosis and not pregnant or nursing,0
"study interventions are analgesics, opioid", myelodysplastic myeloproliferative neoplasms diagnosis and more than twelve weeks since prior methadone therapy,0
study interventions are patient registry, patients that have been diagnosed with or are thought to have any form of cancer at any stage in the continuum of their care from screening through survivorship,0
study interventions are methotrexate, stage iii childhood large cell lymphoma diagnosis and no known history of congenital immune deficiency and or laboratory evidence of acquired immune deficiency,0
study interventions are axitinib, patients with refractory or recurrent solid tumors excluding cns tumors and patients with unresectable translocation positive renal cell carcinoma trcc are eligible,0
study interventions are cisplatin, stage iv primary peritoneal cancer diagnosis and regimen iii,0
study interventions are sirolimus, recurrent grade two follicular lymphoma diagnosis and provide informed written consent,0
study interventions are liposomal doxorubicin, fallopian tube cancer diagnosis and female participants of childbearing potential must be willing to use two methods of birth control or be surgically sterile or abstain from heterosexual activity for the course of the study through 1two0 days after the last dose of study medication,0
study interventions are cyclophosphamide, stage ii diffuse large cell lymphoma diagnosis and alkaline alk,0
"study interventions are antibodies, monoclonal", stage mantle cell lymphoma diagnosis and patient or legal representative must understand the investigational nature of this study and sign an independent ethics committee institutional review board approved written informed consent form prior to receiving any study related procedure,0
study interventions are vitamin e, colorectal cancer diagnosis and subject giving his written informed consent,0
study interventions are pemetrexed, non small cell lung cancer diagnosis and patient with locally advanced or metastatic stage iiib iv ncslc with no prior chemotherapy for advanced disease or molecular target treatment,0
study interventions are fludarabine phosphate, stage iv childhood large cell lymphoma diagnosis and matched for human leukocyte antigen hla b drbone and dqbone by high resolution typing,0
study interventions are maleic acid, iris melanoma diagnosis and ecog performance statusequal_than less_than two karnofskygreater_than equal_than sixty,0
study interventions are gemcitabine, acinar cell adenocarcinoma of the pancreas diagnosis and voluntary written informed consent before performance of any study related procedure not part of normal medical care with the understanding that consent may be withdrawn by the subject at any time without prejudice to future medical care,0
study interventions are thalidomide, ds stage plasma cell myeloma diagnosis and patients must not be hepatitis hepatitis or human immunodeficiency virus hiv positive patients must have negative hepatitis and hiv test performed within twenty-eight days prior to registration exception,0
study interventions are bevacizumab, ovarian endometrioid adenocarcinoma diagnosis and other figo grade three lesions,0
study interventions are ginger extract, unspecified adult solid tumor protocol specific diagnosis and not specified,0
study interventions are laboratory biomarker analysis, stage iv colon cancer diagnosis and ovary,0
study interventions are albumin-bound paclitaxel, small cell lung cancer sclc diagnosis and adequate liver function including,0
study interventions are bevacizumab, recurrent prostate cancer diagnosis and measurable lesions up to maximum of ten in number representative of all organs involved to be identified as target lesions the sum of the longest diameters ld for all target lesions will be calculated and reported as baseline sum ld,0
study interventions are prednisone, nodal marginal zone cell lymphoma diagnosis and all study participants must be registered into the mandatory lenalidomide rems program and be willing and able to comply with the requirements of the rems program,0
study interventions are etoposide phosphate, all patients enrolled in draw peripheral blood samples doc ml and detect circulating tumor cells ctc monitoring efficacy,0
study interventions are immunoglobulins, recurrent adult diffuse mixed cell lymphoma diagnosis and donor,0
study interventions are bevacizumab, pancreatic cancer diagnosis and chronic atrial arrhythmia atrial fibrillation or paroxysmal supraventricular tachycardia allowed,0
study interventions are liposomal doxorubicin, breast neoplasms diagnosis and in cases of positive bone scans bone ray evaluation was mandatory to rule out the possibility of metastatic bone scan positivity,0
study interventions are octreotide, prostate cancer diagnosis and see disease characteristics,0
study interventions are aldesleukin, recurrent melanoma diagnosis and karnofsky performance status of at least eighty and an expected survival of greater than six months,0
study interventions are aldesleukin, breast cancer diagnosis and no prior hemorrhagic cystitis no active systemic infection no active cns disease seizures hiv negative no second malignancy within two years except,0
study interventions are docetaxel, gastric adenocarcinoma diagnosis and alkaline phosphatase doc uln if without liver metastasis or five uln if with hepatic and bone metastasis,0
study interventions are cetuximab, squamous cell carcinoma of the larynx stage iii diagnosis and one,0
"study interventions are antibodies, monoclonal", recurrent neuroblastoma diagnosis and corticosteroid immunosuppressive drugs myelosuppressive chemotherapy and retinoic acid must not be given within fourteen days prior to study entry,0
study interventions are immunoglobulin g, stage iva laryngeal verrucous carcinoma diagnosis and upc ratio of spot urine is an estimation of the twenty-four urine protein excretion,0
study interventions are liposomal doxorubicin, histologically or cytologically confirmed adenocarcinoma of the prostate,0
study interventions are tace, liver carcinoma diagnosis and histopathology,0
study interventions are niacinamide, adenocarcinoma of the prostate diagnosis and creatinine equal_than less_than doc uln or creatinine clearance greater_than sixtyml min doc three two,0
study interventions are levonorgestrel, stage iva endometrial carcinoma diagnosis and willing and able to consent for treatment with office endometrial biopsies every three months,0
study interventions are albumin-bound paclitaxel, malignant melanoma diagnosis and have negative serum pregnancy test result at screening confirmed by negative urine pregnancy dipstick within seventy-two hours prior to first dose of investigational product ip if serum test occurred greater_than seventy-two hours from first dose pregnancy test with sensitivity of at least twenty-five miu ml,0
study interventions are bevacizumab, neuroblastoma diagnosis and three weeks should have elapsed since last dose of chemotherapy or radioimmunotherapy,0
study interventions are mitogens, non small cell lung cancer nsclc diagnosis and platelet count greater_than doc one hundred and four mmthree,0
study interventions are mycophenolic acid, kidney cancer diagnosis and negative mri required,0
study interventions are isophosphamide mustard, stage iv adult soft tissue sarcoma diagnosis and no prior chemotherapy or radiotherapy except for use of corticosteroids or emergent radiation therapy patients requiring emergency radiation are eligible,0
study interventions are methylprednisolone acetate, recurrent cutaneous cell non hodgkin lymphoma diagnosis and acute non lymphocytic leukemia fab types mone mseven in first or second remission or early first or second bone or marrow relapse greater_than 3one marrow blasts and no circulating peripheral blasts,0
study interventions are paclitaxel, unresectable pancreatic carcinoma diagnosis and acceptable hematology parameters defined as,0
study interventions are leucovorin, a female of child bearing potential is any woman regardless of sexual orientation having undergone tubal ligation or remaining_celibate by choice who meets the following criteria,0
study interventions are cetuximab, salivary gland squamous cell carcinoma diagnosis and second primary locoregional recurrence with no clinically measurable distant disease,0
study interventions are dexamethasone acetate, with at least one unfavorable prognostic factor age sixty years symptoms elevated lactate dehydrogenase regional node involvement local tumor invasion,0
study interventions are histone deacetylase inhibitors, recurrent thyroid cancer diagnosis and ast and alt less_than doc times upper limit of normal,0
study interventions are questionnaire administration, colorectal cancer diagnosis and prior concurrent therapy,0
"study interventions are antibodies, monoclonal", stage ivb hodgkin lymphoma diagnosis and all patients and or their parents or legal guardians must sign written informed consent,0
study interventions are sirolimus, nonmalignant neoplasm diagnosis and disease characteristics,0
study interventions are cyclophosphamide, lymphoma diagnosis and no active viral or bacterial infection at transplant no coexisting medical problem that would significantly increase the risk of the transplant procedure not pregnant,0
study interventions are dexamethasone 21-phosphate, refractory multiple myeloma diagnosis and more than four weeks since prior chemotherapy and recovered,0
study interventions are rituximab, recurrent follicular lymphoma diagnosis and absolute neutrophil count anc greater_than equal_than one thousand mm three,0
study interventions are busulfan, adult rhabdomyosarcoma diagnosis and exclusion,0
study interventions are dexamethasone 21-phosphate, lymphoma diagnosis and performance status,0
study interventions are cytarabine, recurrent adult non hodgkin lymphoma diagnosis and must be on multi drug anti hiv regimen excluding zidovudine azt zdv retrovir or agents containing zidovudine combivir and trizivir and efavirenz_sustiva or agents containing efavirenz atripla and have an hiv one viral load less_than fifty copies ml by reverse_transcriptase polymerase chain reaction rt pcr at the time of study enrollment participants on zidovudine azt zdv retrovir including combivir and trizivir and efavirenz_sustiva including atripla must switch to an alternative regimen without anticipated drug drug interactions or myelosuppressive properties based on known viral resistance patterns and or art history such as raltegravir and truvada emtricitabine and tenofovir at least two weeks prior to the transplant,0
"study interventions are tissue, blood, research imaging (tbri)", pancreatic tumor diagnosis and no use of steroids or any other immunosuppressive drug at least four weeks prior to enrollment on study,0
study interventions are carboplatin, metastatic breast cancer diagnosis and hepatic,0
study interventions are niacinamide, stage iii uterine sarcoma diagnosis and renal,0
study interventions are midazolam, newly diagnosed cancer of the prostate,0
study interventions are camptothecin, colorectal cancer metastatic diagnosis and second line oxaliplatin based chemotherapy with fluoropyrimidines fivefu or capecitabine positive bevacizumab and eventually regorafenib possible but not mandatory and progression or limiting toxicity to the last therapy with minimum of four months between last injection of cetuximab and inclusion in this study,0
study interventions are methylprednisolone acetate, recurrent adult diffuse mixed cell lymphoma diagnosis and karnofsky greater_than equal_than seventy or ecog zero one,0
study interventions are ginger root extract (pure encapsulations), colorectal cancer diagnosis and increased risk is defined as having at least one of the following,0
study interventions are pharmacy intervention, gi cancer diagnosis and panning to receive first line chemotherapy at mgh,0
study interventions are prednisolone phosphate, ovarian cancer diagnosis and chemotherapy,0
study interventions are fludarabine, childhood solid neoplasm diagnosis and absolute neutrophil count greater_than equal_than doc ten nine cells l,0
study interventions are axitinib, salivary gland cancers diagnosis and progression of disease by recist is not required,0
study interventions are niacinamide, pediatric solid tumors diagnosis and adequate renal function defined as,0
study interventions are dexamethasone 21-phosphate, relapsed and or refractory multiple myeloma diagnosis and participants who meet the following conditions,0
study interventions are cisplatin, stage iii intrahepatic cholangiocarcinoma diagnosis and history physical examination within thirty days prior to registration,0
study interventions are carboplatin, primary peritoneal cavity cancer diagnosis and not pregnant or nursing,0
